Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35.0,No,Non-Travel,Research & Development,11,2,Medical,1,70,3,Male,2,3,Healthcare Representative,1.0,Married,9884.0,2.0,Y,Yes,13,3,3,80,1,10.0,3,3,4,0,2,3
26.0,No,Travel_Rarely,Sales,23,3,Marketing,1,72,3,Female,2,2,Sales Executive,4.0,Married,4157.0,,Y,Yes,19,3,3,80,1,5.0,2,2,2,2,0,0
33.0,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,73,1,Female,3,3,Research Director,4.0,Single,13458.0,1.0,Y,Yes,12,3,3,80,0,15.0,1,3,15,14,8,12
35.0,No,Travel_Frequently,Sales,18,5,Life Sciences,1,74,2,Male,3,3,Sales Executive,1.0,Married,9069.0,1.0,Y,No,22,4,4,80,1,9.0,3,2,9,8,1,8
35.0,No,Travel_Rarely,Research & Development,23,4,Medical,1,75,3,Female,3,1,Laboratory Technician,1.0,Married,4014.0,3.0,Y,Yes,15,3,3,80,1,4.0,3,3,2,2,2,2
31.0,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,76,4,Male,3,2,Laboratory Technician,4.0,Divorced,5915.0,3.0,Y,No,22,4,4,80,1,10.0,3,2,7,7,1,7
,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,77,1,Male,2,2,Manufacturing Director,,Divorced,5993.0,1.0,Y,No,18,3,3,80,1,10.0,2,4,7,5,0,7
32.0,No,Travel_Rarely,Research & Development,1,3,Medical,1,78,1,Male,3,2,Manufacturing Director,4.0,Married,6162.0,1.0,Y,Yes,22,4,2,80,1,9.0,3,3,9,8,7,8
38.0,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,79,4,Female,3,2,Laboratory Technician,4.0,Single,2406.0,1.0,Y,No,11,3,4,80,0,10.0,2,3,10,3,9,9
50.0,No,Travel_Rarely,Research & Development,7,2,Medical,1,80,2,Female,2,5,Research Director,3.0,Divorced,18740.0,5.0,Y,Yes,12,3,4,80,1,29.0,2,2,27,3,13,8
59.0,No,Travel_Rarely,Research & Development,25,3,Life Sciences,1,81,1,Female,3,3,Sales Executive,1.0,Single,,7.0,Y,No,11,3,4,80,0,28.0,3,2,21,16,7,9
36.0,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,83,3,Female,3,3,Healthcare Representative,3.0,Divorced,10096.0,1.0,Y,No,13,3,2,80,3,17.0,2,3,17,14,12,8
,No,Travel_Rarely,Research & Development,8,3,Medical,1,84,4,Female,3,4,Manager,3.0,Divorced,14756.0,2.0,Y,Yes,14,3,3,80,3,10.0,2,3,5,0,0,2
36.0,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,85,2,Male,2,2,Sales Executive,3.0,Single,6499.0,,Y,No,13,3,3,80,0,6.0,3,3,6,5,0,3
,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,86,2,Male,3,3,Research Scientist,1.0,Divorced,9724.0,2.0,Y,No,17,3,3,80,1,25.0,2,3,1,0,0,0
35.0,No,Travel_Frequently,Research & Development,1,3,Medical,1,88,2,Male,3,1,Research Scientist,1.0,Married,2194.0,4.0,Y,No,13,3,4,80,1,5.0,2,2,3,2,1,2
36.0,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,90,4,Male,2,1,Research Scientist,3.0,Married,3388.0,0.0,Y,Yes,17,3,1,80,1,2.0,0,2,1,0,0,0
,No,Travel_Frequently,Sales,1,1,Life Sciences,1,91,1,Female,2,2,Sales Executive,3.0,Single,5473.0,7.0,Y,No,11,3,4,80,0,20.0,2,2,4,3,1,3
29.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,94,3,Male,3,1,Research Scientist,,Married,2703.0,0.0,Y,No,23,4,4,80,1,6.0,3,3,5,4,0,4
31.0,No,Travel_Rarely,Research & Development,1,4,Medical,1,95,3,Male,3,1,Research Scientist,2.0,Single,2501.0,1.0,Y,No,17,3,2,80,0,1.0,4,3,1,1,1,0
32.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,96,2,Male,3,2,Research Scientist,2.0,Married,6220.0,1.0,Y,No,17,3,2,80,2,10.0,3,3,10,4,0,9
36.0,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,97,2,Female,4,1,Laboratory Technician,4.0,Married,3038.0,3.0,Y,No,12,3,2,80,0,5.0,3,3,1,0,0,0
31.0,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,98,3,Female,3,2,Manufacturing Director,4.0,Single,4424.0,1.0,Y,No,23,4,4,80,0,11.0,2,3,11,7,1,8
,No,Travel_Rarely,Sales,1,4,Marketing,1,100,3,Male,2,2,Sales Executive,1.0,Single,4312.0,0.0,Y,No,14,3,2,80,0,16.0,2,3,15,13,2,8
45.0,No,Travel_Rarely,Research & Development,6,4,Other,1,101,4,Male,3,3,Research Director,1.0,Married,13245.0,4.0,Y,Yes,14,3,2,80,0,17.0,3,4,0,0,0,0
,No,Travel_Rarely,Research & Development,7,4,Medical,1,102,1,Male,3,3,Research Director,3.0,Single,13664.0,4.0,Y,No,13,3,1,80,0,16.0,3,4,5,2,0,2
46.0,No,Travel_Rarely,Human Resources,5,2,Medical,1,103,2,Male,3,2,Sales Executive,2.0,Divorced,5021.0,,Y,Yes,22,4,4,80,1,16.0,2,3,4,2,0,2
30.0,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,104,4,Male,2,2,Sales Executive,4.0,Married,5126.0,,Y,Yes,12,3,3,80,2,10.0,1,2,10,8,3,0
35.0,No,Travel_Rarely,Research & Development,1,3,Medical,1,105,2,Male,2,1,Research Scientist,3.0,Single,2859.0,1.0,Y,No,18,3,1,80,0,6.0,3,3,6,4,0,4
55.0,No,Travel_Rarely,Sales,1,2,Life Sciences,1,106,1,Male,3,3,Sales Executive,4.0,Married,10239.0,3.0,Y,No,14,3,4,80,1,24.0,4,3,1,0,1,0
38.0,No,Non-Travel,Research & Development,6,3,Medical,1,107,2,Female,1,2,Research Scientist,4.0,Divorced,5329.0,7.0,Y,Yes,12,3,4,80,3,17.0,3,3,13,11,1,9
34.0,No,Travel_Rarely,Research & Development,1,2,Medical,1,110,1,Male,3,2,Sales Executive,2.0,Married,4325.0,,Y,No,15,3,3,80,0,5.0,2,3,5,2,1,3
56.0,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,112,4,Male,1,3,Manufacturing Director,4.0,Single,7260.0,4.0,Y,No,11,3,1,80,0,37.0,3,2,6,4,0,2
23.0,No,Travel_Rarely,Sales,2,1,Technical Degree,1,113,3,Male,3,1,Sales Representative,3.0,Divorced,2322.0,3.0,Y,No,13,3,3,80,1,3.0,3,3,0,0,0,0
51.0,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,116,4,Male,3,1,Laboratory Technician,4.0,Married,2075.0,3.0,Y,No,23,4,2,80,2,10.0,4,3,4,2,0,3
30.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,117,3,Male,2,2,Healthcare Representative,4.0,Married,4152.0,1.0,Y,No,19,3,1,80,3,11.0,3,3,11,10,10,8
46.0,Yes,Travel_Rarely,Sales,9,2,Medical,1,118,3,Male,2,3,Sales Executive,4.0,Single,9619.0,1.0,Y,No,16,3,4,80,0,9.0,3,3,9,8,4,7
40.0,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,119,3,Male,2,4,Healthcare Representative,2.0,Married,,1.0,Y,No,22,4,4,80,1,10.0,3,2,22,3,11,11
51.0,No,Travel_Rarely,Sales,21,4,Marketing,1,120,3,Male,3,2,Sales Executive,4.0,Single,5441.0,0.0,Y,Yes,22,4,4,80,0,11.0,2,1,10,7,1,0
30.0,No,Travel_Rarely,Sales,4,2,Medical,1,121,3,Female,2,2,Sales Executive,2.0,Divorced,5209.0,1.0,Y,Yes,12,3,2,80,3,11.0,4,2,11,8,2,7
46.0,No,Travel_Frequently,Research & Development,1,3,Medical,1,124,3,Male,2,3,Healthcare Representative,1.0,Married,,2.0,Y,Yes,13,3,3,80,1,21.0,5,2,10,9,9,5
32.0,No,Travel_Rarely,Sales,6,4,Medical,1,125,2,Male,3,2,Sales Executive,3.0,Single,5010.0,1.0,Y,No,16,3,1,80,0,12.0,0,3,11,8,5,7
54.0,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,126,1,Female,3,3,Research Director,3.0,Married,,9.0,Y,No,12,3,1,80,1,10.0,5,1,4,3,0,3
24.0,No,Travel_Rarely,Sales,3,2,Other,1,128,1,Female,3,2,Sales Executive,3.0,Married,4999.0,0.0,Y,No,21,4,1,80,1,4.0,2,2,3,2,0,2
28.0,No,Non-Travel,Sales,4,3,Medical,1,129,2,Male,3,2,Sales Executive,3.0,Married,4221.0,1.0,Y,No,15,3,2,80,0,5.0,3,4,5,4,0,4
58.0,No,Travel_Rarely,Sales,10,4,Medical,1,131,4,Male,3,4,Sales Executive,3.0,Single,13872.0,0.0,Y,No,13,3,3,80,0,38.0,1,2,37,10,1,8
44.0,No,Non-Travel,Research & Development,23,3,Medical,1,132,2,Male,3,2,Sales Executive,2.0,Married,2042.0,,Y,No,12,3,3,80,1,17.0,3,4,3,2,1,2
37.0,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,133,3,Male,3,1,Human Resources,1.0,Divorced,2073.0,4.0,Y,Yes,22,4,4,80,0,7.0,3,3,3,2,0,2
32.0,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,134,4,Male,3,1,Research Scientist,1.0,Single,2956.0,1.0,Y,No,13,3,4,80,0,1.0,2,3,1,0,0,0
20.0,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,137,4,Female,2,1,Laboratory Technician,4.0,Single,4936.0,1.0,Y,Yes,18,3,2,80,0,1.0,5,3,1,0,1,0
34.0,No,Travel_Rarely,Research & Development,6,4,Other,1,138,1,Female,3,2,Research Scientist,3.0,Single,4809.0,1.0,Y,No,14,3,3,80,0,16.0,3,3,16,13,2,10
37.0,No,Non-Travel,Research & Development,2,2,Life Sciences,1,139,3,Male,2,2,Healthcare Representative,4.0,Divorced,5163.0,5.0,Y,No,14,3,4,80,1,17.0,2,4,1,0,0,0
59.0,No,Non-Travel,Human Resources,2,4,Human Resources,1,140,3,Female,2,5,Manager,4.0,Married,18844.0,9.0,Y,No,21,4,4,80,1,30.0,3,3,3,2,2,2
50.0,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,141,1,Female,3,5,Research Director,2.0,Married,18172.0,3.0,Y,Yes,19,3,1,80,0,28.0,1,2,8,3,0,7
25.0,Yes,Travel_Rarely,Sales,5,3,Marketing,1,142,3,Male,2,2,Sales Executive,3.0,Single,5744.0,1.0,Y,Yes,11,3,4,80,0,6.0,1,3,6,4,0,3
25.0,No,Travel_Rarely,Research & Development,7,1,Medical,1,143,4,Male,2,1,Research Scientist,4.0,Married,2889.0,1.0,Y,No,11,3,3,80,2,2.0,2,3,2,2,2,1
22.0,No,Travel_Rarely,Research & Development,15,3,Medical,1,144,2,Female,3,1,Laboratory Technician,4.0,Single,2871.0,1.0,Y,No,15,3,3,80,0,1.0,5,3,0,0,0,0
51.0,No,Travel_Frequently,Research & Development,1,4,Medical,1,145,1,Female,2,3,Healthcare Representative,1.0,Single,7484.0,3.0,Y,No,20,4,3,80,0,23.0,1,2,13,12,12,8
34.0,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,147,1,Male,1,2,Laboratory Technician,3.0,Single,6074.0,1.0,Y,Yes,24,4,4,80,0,9.0,3,3,9,7,0,6
54.0,No,Non-Travel,Human Resources,26,3,Human Resources,1,148,4,Female,4,4,Manager,4.0,Single,17328.0,2.0,Y,Yes,12,3,3,80,0,23.0,3,3,5,3,4,4
24.0,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,150,2,Male,3,1,Laboratory Technician,3.0,Married,2774.0,0.0,Y,No,12,3,3,80,1,6.0,2,3,5,3,1,2
34.0,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,151,3,Female,2,2,Research Scientist,,Divorced,4505.0,6.0,Y,No,15,3,3,80,1,10.0,3,3,1,0,0,0
,No,Travel_Rarely,Sales,3,3,Life Sciences,1,152,3,Male,3,3,Sales Executive,4.0,Single,7428.0,2.0,Y,No,12,3,1,80,0,12.0,3,3,5,3,1,3
34.0,No,Travel_Rarely,Research & Development,5,3,Medical,1,153,3,Female,2,3,Manager,3.0,Single,11631.0,2.0,Y,No,12,3,4,80,0,14.0,6,3,11,10,5,8
36.0,No,Travel_Frequently,Sales,11,2,Technical Degree,1,154,2,Female,3,3,Sales Executive,4.0,Married,9738.0,0.0,Y,No,14,3,3,80,1,10.0,6,3,9,7,2,8
36.0,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,155,1,Female,3,1,Laboratory Technician,4.0,Divorced,2835.0,5.0,Y,No,22,4,1,80,1,7.0,2,3,1,0,0,0
43.0,No,Travel_Frequently,Sales,26,2,Life Sciences,1,158,3,Male,3,4,Manager,4.0,Married,16959.0,1.0,Y,Yes,12,3,4,80,2,25.0,3,4,25,12,4,12
30.0,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,159,1,Male,1,1,Research Scientist,3.0,Divorced,2613.0,1.0,Y,No,25,4,3,80,3,10.0,2,2,10,7,0,9
33.0,No,Non-Travel,Sales,22,2,Marketing,1,160,3,Male,3,2,Sales Executive,2.0,Married,6146.0,0.0,Y,No,13,3,1,80,1,8.0,2,4,7,7,0,7
56.0,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,1,161,2,Female,3,1,Research Scientist,2.0,Married,,9.0,Y,Yes,18,3,1,80,3,7.0,2,3,5,4,4,3
,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,162,1,Male,3,5,Research Director,3.0,Single,19537.0,7.0,Y,No,13,3,3,80,0,23.0,5,3,20,18,15,15
31.0,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,163,2,Male,1,2,Sales Executive,3.0,Married,6172.0,4.0,Y,Yes,18,3,2,80,0,12.0,3,2,7,7,7,7
26.0,No,Travel_Rarely,Research & Development,6,3,Other,1,164,3,Female,2,1,Research Scientist,2.0,Married,2368.0,1.0,Y,No,19,3,3,80,0,5.0,3,2,5,4,4,3
58.0,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,165,4,Female,3,3,Healthcare Representative,4.0,Married,10312.0,1.0,Y,No,12,3,4,80,1,40.0,3,2,40,10,15,6
19.0,Yes,Travel_Rarely,Sales,22,1,Marketing,1,167,4,Male,3,1,Sales Representative,3.0,Single,1675.0,1.0,Y,Yes,19,3,4,80,0,0.0,2,2,0,0,0,0
22.0,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,169,3,Male,3,1,Laboratory Technician,4.0,Married,2523.0,0.0,Y,No,14,3,3,80,1,3.0,2,3,2,1,2,1
49.0,No,Travel_Rarely,Research & Development,20,4,Medical,1,170,3,Female,3,2,Manufacturing Director,,Married,6567.0,1.0,Y,No,14,3,3,80,0,16.0,2,2,15,11,5,11
43.0,No,Travel_Frequently,Research & Development,28,3,Medical,1,171,2,Female,4,1,Research Scientist,3.0,Single,4739.0,4.0,Y,No,12,3,4,80,0,18.0,2,3,3,2,1,2
50.0,No,Travel_Frequently,Sales,12,3,Marketing,1,174,3,Female,3,3,Sales Executive,4.0,Single,9208.0,4.0,Y,No,11,3,4,80,0,16.0,3,3,2,2,2,1
31.0,Yes,Travel_Rarely,Sales,20,3,Life Sciences,1,175,2,Female,1,2,Sales Executive,3.0,Married,4559.0,3.0,Y,Yes,11,3,3,80,1,10.0,2,3,2,2,2,2
41.0,No,Travel_Rarely,Sales,9,1,Life Sciences,1,176,3,Male,3,3,Sales Executive,3.0,Divorced,8189.0,3.0,Y,Yes,13,3,3,80,1,12.0,2,3,9,7,0,7
26.0,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,177,3,Female,3,1,Human Resources,3.0,Married,2942.0,1.0,Y,No,23,4,4,80,1,8.0,3,3,8,7,5,7
36.0,No,Travel_Rarely,Research & Development,6,2,Medical,1,178,2,Male,3,2,Manufacturing Director,,Divorced,4941.0,6.0,Y,No,20,4,4,80,2,7.0,0,3,3,2,0,1
51.0,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,179,1,Male,1,3,Manufacturing Director,4.0,Single,10650.0,2.0,Y,No,15,3,4,80,0,18.0,2,3,4,2,0,3
